Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
546194, Havlíčkův Brod, Obec: Bačkov,64,"64,00",64,6,0,0,5,0,3,8,2,0,2,0,0,0,0,0,26,1,2,0,3,0,0,6,0
548260, Havlíčkův Brod, Obec: Bartoušov,84,"66,14",83,11,0,0,12,0,0,13,0,0,2,0,0,4,0,1,18,0,9,0,0,0,0,13,0
573566, Havlíčkův Brod, Obec: Bělá,158,"79,00",158,8,0,0,13,0,11,38,2,2,1,0,0,9,1,1,51,0,1,0,0,1,0,19,0
548430, Havlíčkův Brod, Obec: Bezděkov,146,"73,74",145,22,0,0,19,0,4,15,0,2,0,1,0,14,1,5,46,0,4,0,0,0,3,9,0
568457, Havlíčkův Brod, Obec: Bojiště,134,"59,82",134,25,0,0,7,0,6,4,1,2,4,0,0,8,0,4,49,0,11,1,0,0,1,11,0
573558, Havlíčkův Brod, Obec: Boňkov,36,"56,25",35,2,0,0,6,0,2,4,1,0,1,0,0,7,0,0,6,0,3,0,0,0,0,3,0
568465, Havlíčkův Brod, Obec: Borek,63,"58,33",63,3,0,0,5,0,2,7,0,0,0,0,0,9,0,0,28,0,3,0,0,0,0,6,0
548278, Havlíčkův Brod, Obec: Břevnice,90,"69,23",90,11,0,0,4,0,4,12,5,0,1,0,0,7,1,2,23,0,7,0,1,0,3,9,0
568490, Havlíčkův Brod, Obec: Čachotín,104,"67,97",103,4,0,0,5,0,0,8,0,2,0,0,0,9,0,5,39,0,16,0,0,0,0,13,2
548375, Havlíčkův Brod, Obec: Čečkovice,55,"85,94",55,10,1,0,12,1,0,7,0,0,0,0,0,3,0,0,15,0,3,0,0,1,0,2,0
