Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
581291, Blansko, Obec: Adamov,769,345,345,24,1,1,37,0,11,28,8,5,9,0,1,40,1,16,82,1,1,28,0,2,0,1,44,3,0
581291, Blansko, Obec: Adamov,858,518,516,47,0,0,55,0,12,59,7,2,4,0,0,43,3,7,158,1,5,29,1,2,0,1,71,1,1
581291, Blansko, Obec: Adamov,918,583,581,66,1,1,62,0,22,71,5,5,3,1,4,69,0,18,141,0,2,28,1,1,2,3,62,9,0
581291, Blansko, Obec: Adamov,1 123,711,710,71,1,3,68,0,31,83,17,6,12,0,2,56,1,22,184,3,6,32,0,5,1,1,101,2,0
581313, Blansko, Obec: Bedřichov,155,"75,61",153,16,0,2,10,0,3,4,0,3,8,0,0,13,0,6,51,0,1,17,0,0,1,0,18,0,0
581330, Blansko, Obec: Benešov,382,"71,00",382,28,0,0,43,0,9,45,4,5,6,0,0,24,0,11,92,0,0,74,0,2,0,1,36,2,0
581283, Blansko, Obec: Blansko,503,343,343,38,0,0,30,0,10,44,4,2,3,0,2,22,0,13,100,0,0,21,0,1,2,2,42,3,0
581283, Blansko, Obec: Blansko,347,267,267,43,0,0,22,0,6,59,1,1,6,0,1,14,0,3,65,0,1,9,0,1,2,0,30,0,0
581283, Blansko, Obec: Blansko,474,341,341,35,0,1,36,2,11,42,5,1,6,0,1,41,0,18,83,0,0,20,0,4,0,0,35,0,0
581283, Blansko, Obec: Blansko,362,264,263,35,0,0,25,0,6,28,4,1,5,1,0,33,0,8,55,2,0,19,0,3,0,1,35,0,0
581283, Blansko, Obec: Blansko,748,524,524,99,0,0,35,0,15,58,7,11,6,0,1,50,0,16,117,0,2,25,0,3,2,2,71,2,0
581283, Blansko, Obec: Blansko,208,152,152,13,0,0,20,0,7,11,4,0,0,0,0,16,1,8,38,0,0,19,0,2,1,0,9,1,0
581283, Blansko, Obec: Blansko,538,370,370,47,0,1,32,0,15,39,6,4,6,1,1,31,1,10,96,0,2,31,0,1,1,2,40,2,0
581283, Blansko, Obec: Blansko,435,291,290,42,0,0,28,0,7,45,2,0,5,0,1,30,0,6,66,1,0,29,0,0,0,1,26,0,0
581283, Blansko, Obec: Blansko,442,293,293,29,0,1,34,1,10,44,5,5,4,0,0,33,0,10,62,0,0,25,0,0,0,0,25,1,0
