Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
523917, Jeseník, Obec: Bělá pod Pradědem,630,411,411,28,0,0,24,0,16,40,1,4,6,0,0,32,0,19,151,0,3,4,0,3,0,1,76,1
523917, Jeseník, Obec: Bělá pod Pradědem,548,304,304,19,0,0,11,1,17,22,4,1,3,0,0,27,0,5,106,0,0,29,0,4,0,0,52,1
523917, Jeseník, Obec: Bělá pod Pradědem,368,230,230,30,1,0,12,1,20,8,3,7,1,0,1,20,1,9,74,0,0,9,0,0,0,0,30,0
524891, Jeseník, Obec: Bernartice,344,"48,93",343,24,0,0,25,1,6,38,1,1,1,0,0,15,0,5,149,2,1,13,1,0,1,1,58,0
525227, Jeseník, Obec: Bílá Voda,140,"57,85",138,17,1,0,7,1,5,14,6,2,0,0,0,13,0,9,18,1,0,16,0,0,1,1,25,1
533491, Jeseník, Obec: Černá Voda,269,"54,34",269,14,0,0,14,1,16,30,2,1,4,0,0,27,0,13,89,2,1,15,0,0,0,0,40,0
569356, Jeseník, Obec: Česká Ves,877,551,551,31,0,0,45,2,62,33,2,3,5,0,0,35,4,30,185,0,0,15,0,0,0,0,91,0
569356, Jeseník, Obec: Česká Ves,1 087,588,588,31,0,0,25,2,77,59,7,5,5,0,0,29,0,31,170,0,0,37,0,2,0,1,102,0
553301, Jeseník, Obec: Hradec-Nová Ves,189,98,98,9,0,0,4,0,12,7,2,1,0,0,0,9,0,0,22,3,0,7,0,0,0,0,22,0
553301, Jeseník, Obec: Hradec-Nová Ves,123,64,64,6,0,0,8,0,1,7,1,0,2,0,0,3,0,0,24,0,0,3,0,1,0,0,7,0
536148, Jeseník, Obec: Javorník,1 078,579,579,60,2,0,51,0,11,66,7,3,5,0,0,57,1,10,183,1,3,27,0,5,1,1,75,4
536148, Jeseník, Obec: Javorník,931,501,501,33,1,1,54,0,11,41,7,8,7,0,0,34,1,5,176,0,0,20,0,2,1,0,88,0
536148, Jeseník, Obec: Javorník,260,149,149,6,0,0,6,0,1,30,0,0,0,0,0,9,0,4,60,0,1,1,0,0,0,0,31,0
536385, Jeseník, Obec: Jeseník,479,379,379,28,2,2,19,1,22,32,6,0,3,1,0,28,0,25,117,1,1,33,0,5,0,0,50,1
536385, Jeseník, Obec: Jeseník,656,428,428,56,0,2,25,0,33,23,2,5,4,1,0,41,0,36,109,0,0,28,0,4,1,0,55,1
536385, Jeseník, Obec: Jeseník,1 175,679,679,52,1,0,44,0,62,58,5,4,4,0,2,48,0,43,219,0,3,25,0,2,2,0,95,4
536385, Jeseník, Obec: Jeseník,1 490,581,581,53,0,0,33,0,36,47,3,1,4,1,2,66,0,41,174,1,0,24,1,2,1,0,82,1
536385, Jeseník, Obec: Jeseník,528,327,327,26,0,0,31,1,11,20,7,3,6,3,2,34,0,28,91,0,0,8,0,1,1,2,50,2
536385, Jeseník, Obec: Jeseník,1 024,559,559,28,0,0,44,0,39,58,3,8,3,1,0,46,0,31,177,0,1,16,0,2,1,0,95,3
536385, Jeseník, Obec: Jeseník,882,530,530,41,0,1,27,0,38,38,8,2,3,2,1,38,0,32,191,2,0,20,0,4,1,1,79,1
536385, Jeseník, Obec: Jeseník,1 022,610,610,45,1,1,57,0,41,48,4,6,9,0,1,51,0,41,165,0,1,32,1,6,2,2,92,1
536385, Jeseník, Obec: Jeseník,768,421,421,28,0,0,33,0,29,45,5,2,4,1,0,16,0,21,146,1,2,9,0,4,2,0,67,0
