Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Volte Pr.Blok www.cibulka.net,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Společ.proti výst.v Prok.údolí,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
500054,Praha 1, Okrsek: 1001,682,537,537,77,2,0,18,0,0,30,11,30,3,0,5,0,1,71,0,0,0,105,67,0,0,86,0,4,1,0,23,3
500054,Praha 1, Okrsek: 1002,1 226,941,934,151,0,2,43,4,0,76,15,42,0,0,12,0,1,157,0,0,0,228,84,0,2,65,0,6,0,0,42,1
500054,Praha 1, Okrsek: 1003,670,511,511,87,0,0,10,0,0,42,15,13,2,0,7,0,2,62,0,0,0,112,45,0,0,84,0,5,0,0,11,1
500054,Praha 1, Okrsek: 1004,815,597,597,127,0,0,21,0,0,34,10,18,2,0,8,1,2,85,0,0,0,150,60,0,0,51,0,4,0,0,21,2
500054,Praha 1, Okrsek: 1005,680,505,505,95,2,0,21,0,0,24,13,18,2,0,8,0,2,92,0,0,1,100,56,0,0,30,0,8,0,0,28,3
500054,Praha 1, Okrsek: 1006,1 266,904,904,151,0,1,54,0,0,68,21,37,1,0,13,0,2,166,1,0,0,184,88,0,1,64,1,9,2,0,33,3
500054,Praha 1, Okrsek: 1007,1 142,792,792,150,0,0,34,1,0,40,25,32,3,1,11,1,2,124,0,0,0,158,99,0,0,49,0,6,1,1,48,1
500054,Praha 1, Okrsek: 1008,885,605,605,122,0,1,14,2,0,36,13,22,2,0,16,0,1,75,1,0,0,139,72,0,0,38,0,6,2,0,31,0
500054,Praha 1, Okrsek: 1009,884,599,598,142,0,0,20,1,0,28,8,21,1,0,7,0,1,93,0,0,0,127,77,0,0,37,0,9,0,0,21,1
500054,Praha 1, Okrsek: 1010,565,393,393,78,2,0,16,0,0,20,14,18,2,1,3,0,2,60,0,0,1,87,44,0,0,23,1,3,0,0,14,1
500054,Praha 1, Okrsek: 1011,1 610,959,955,204,1,1,60,0,0,45,27,21,6,1,30,2,2,151,0,0,0,167,115,0,0,47,0,15,1,0,51,2
500054,Praha 1, Okrsek: 1012,810,534,532,100,0,1,22,0,0,39,13,20,1,0,10,0,3,95,0,0,2,99,65,0,0,29,0,8,1,0,22,0
