Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
553433, Domažlice, Obec: Babylon,171,"74,35",169,19,0,0,8,0,17,20,0,1,3,0,0,18,0,0,4,48,1,8,0,2,0,0,20,0
553441, Domažlice, Obec: Bělá nad Radbuzou,876,420,420,43,1,0,34,1,55,46,2,3,3,1,0,25,0,1,4,125,0,6,0,1,0,0,66,2
553441, Domažlice, Obec: Bělá nad Radbuzou,518,257,257,11,0,0,19,0,45,35,6,2,1,0,0,13,0,0,3,80,0,5,0,0,0,1,27,4
553450, Domažlice, Obec: Blížejov,764,395,395,44,1,1,28,0,19,34,5,2,6,1,2,31,0,0,2,134,0,7,0,7,3,2,63,1
553450, Domažlice, Obec: Blížejov,93,58,58,4,0,0,4,0,5,11,0,0,2,0,0,7,0,0,0,15,0,1,0,0,0,0,8,1
553450, Domažlice, Obec: Blížejov,125,81,81,4,0,0,5,0,3,8,0,5,1,0,0,7,0,0,5,19,0,4,0,1,1,2,16,0
553450, Domažlice, Obec: Blížejov,57,34,34,3,0,0,1,0,4,1,0,0,0,0,0,4,0,0,3,13,0,1,0,0,0,0,4,0
553450, Domažlice, Obec: Blížejov,90,53,53,7,0,0,3,0,2,1,0,2,0,0,0,6,0,0,0,24,0,0,0,0,0,0,8,0
566136, Domažlice, Obec: Brnířov,170,"57,82",170,40,0,0,11,0,9,6,0,2,0,0,1,13,0,0,4,50,0,11,0,0,4,1,18,0
553506, Domažlice, Obec: Bukovec,44,"55,70",44,7,0,0,7,0,3,3,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,2,0
566080, Domažlice, Obec: Čečovice,24,"38,71",24,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,10,0,0,0,0,0,0,8,0
553514, Domažlice, Obec: Čermná,134,"66,01",134,26,2,0,11,1,10,15,2,1,1,0,0,8,0,0,3,38,0,7,0,0,0,0,9,0
566098, Domažlice, Obec: Černovice,71,"41,52",69,6,0,0,14,0,6,9,1,0,1,0,1,0,0,0,0,18,0,4,0,0,0,1,8,0
553549, Domažlice, Obec: Česká Kubice,360,175,175,10,0,0,14,1,14,16,0,2,0,0,0,16,0,0,7,59,0,6,0,2,0,0,28,0
553549, Domažlice, Obec: Česká Kubice,109,62,62,4,3,0,10,0,4,7,1,2,1,0,0,4,0,0,4,10,0,2,0,1,0,0,7,0
553549, Domažlice, Obec: Česká Kubice,80,33,33,0,0,0,3,0,2,8,1,1,0,0,0,4,0,0,1,11,0,1,0,0,0,0,1,0
553557, Domažlice, Obec: Díly,219,"69,52",217,24,0,0,20,0,12,21,1,1,0,0,1,16,0,0,12,78,0,12,0,0,1,3,15,0
553425, Domažlice, Obec: Domažlice,859,625,625,90,1,0,57,1,47,47,6,3,5,0,2,49,1,0,22,158,0,54,1,15,0,0,59,2
553425, Domažlice, Obec: Domažlice,844,468,468,59,0,0,35,1,23,55,4,3,4,0,0,43,0,0,10,125,2,34,0,2,1,0,63,1
553425, Domažlice, Obec: Domažlice,640,377,377,27,0,0,37,0,11,47,0,4,3,0,1,24,1,1,12,142,0,28,0,1,1,0,36,0
553425, Domažlice, Obec: Domažlice,593,388,388,18,0,0,32,1,18,55,1,7,2,0,0,47,1,0,5,121,0,30,0,5,1,0,44,0
553425, Domažlice, Obec: Domažlice,751,499,499,77,0,0,44,0,30,48,5,7,1,0,3,37,1,1,21,136,0,39,0,4,1,0,39,2
553425, Domažlice, Obec: Domažlice,655,377,377,26,1,0,48,0,23,34,6,5,1,0,2,38,0,0,15,103,0,21,0,2,0,2,47,1
553425, Domažlice, Obec: Domažlice,756,428,428,51,1,0,37,1,29,40,6,4,9,0,0,46,0,0,8,117,2,20,0,1,1,2,52,1
553425, Domažlice, Obec: Domažlice,852,493,493,38,0,0,58,0,28,56,8,4,1,0,0,49,0,0,9,129,0,36,0,1,0,1,73,1
553425, Domažlice, Obec: Domažlice,642,403,403,63,0,0,22,0,23,35,3,4,3,0,0,37,0,0,14,102,1,39,0,7,0,0,49,1
553425, Domažlice, Obec: Domažlice,1 006,452,452,60,1,0,37,0,19,43,8,8,4,0,4,53,0,0,33,85,0,33,0,2,0,0,58,0
553425, Domažlice, Obec: Domažlice,802,479,479,71,2,2,37,2,20,38,3,4,2,0,1,52,0,0,17,122,0,35,3,4,0,2,60,2
553425, Domažlice, Obec: Domažlice,154,105,105,12,0,0,5,0,7,10,3,2,0,0,0,8,1,0,2,29,0,8,0,0,1,0,15,0
553573, Domažlice, Obec: Drahotín,64,"42,11",64,4,0,0,5,0,6,5,0,0,1,0,0,2,0,0,1,32,0,1,0,0,0,0,7,0
553581, Domažlice, Obec: Draženov,219,"66,36",219,18,0,0,18,0,10,14,1,3,5,0,0,10,0,0,3,81,0,21,0,3,3,0,28,1
553620, Domažlice, Obec: Hlohová,143,"65,00",142,19,0,0,15,0,6,15,0,5,2,0,0,17,0,0,8,30,1,3,0,1,0,0,20,0
566641, Domažlice, Obec: Hlohovčice,108,"68,79",108,5,0,0,9,0,6,16,1,3,2,0,0,7,0,0,0,28,0,2,2,0,3,0,24,0
553654, Domažlice, Obec: Holýšov,831,377,377,34,0,0,34,0,23,40,0,0,4,1,3,27,0,0,9,139,0,4,0,0,0,2,56,0
553654, Domažlice, Obec: Holýšov,824,470,470,33,2,0,47,0,29,35,5,4,8,1,3,49,0,0,13,139,2,4,0,4,0,2,85,2
553654, Domažlice, Obec: Holýšov,798,464,464,58,1,0,35,0,32,30,3,7,2,0,2,32,0,0,12,146,1,4,0,1,1,2,89,5
553654, Domažlice, Obec: Holýšov,630,331,329,22,1,0,33,0,13,38,2,4,10,2,0,24,0,0,11,116,1,2,0,3,0,0,45,1
553654, Domažlice, Obec: Holýšov,789,459,459,60,0,0,41,1,26,42,4,4,5,0,0,43,2,0,5,144,0,7,1,0,0,0,67,3
553654, Domažlice, Obec: Holýšov,98,72,72,8,0,0,1,0,10,0,3,2,0,1,0,7,0,0,4,19,0,0,0,0,0,0,17,0
566276, Domažlice, Obec: Hora Svatého Václava,50,"70,42",50,10,0,0,9,0,6,0,0,0,1,0,0,4,0,0,0,13,1,4,0,0,0,0,2,0
553662, Domažlice, Obec: Horní Kamenice,130,"68,06",129,14,1,0,21,0,12,9,0,1,2,0,0,14,0,0,3,34,0,3,0,2,0,1,12,0
553671, Domažlice, Obec: Horšovský Týn,956,446,443,81,1,2,26,2,21,31,7,6,2,1,0,30,0,0,15,149,2,12,0,2,2,1,46,1
553671, Domažlice, Obec: Horšovský Týn,863,504,504,81,1,1,26,2,21,62,7,10,4,0,3,36,1,0,20,156,2,17,0,1,0,0,50,2
