Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
554499, Cheb, Obec: Aš,760,360,360,26,3,14,21,32,12,2,3,0,0,34,4,16,127,0,13,0,0,0,51,1
554499, Cheb, Obec: Aš,561,265,265,20,2,12,9,26,13,5,4,1,0,23,0,4,113,1,3,0,1,0,25,2
554499, Cheb, Obec: Aš,1 049,427,426,31,3,14,16,32,13,6,5,1,4,37,0,14,173,3,8,3,2,0,58,0
554499, Cheb, Obec: Aš,714,289,289,15,6,23,14,27,11,2,3,0,0,21,0,3,124,0,4,0,0,2,33,0
554499, Cheb, Obec: Aš,545,176,176,13,0,6,8,16,8,4,4,1,0,18,0,12,66,0,1,0,1,0,13,0
554499, Cheb, Obec: Aš,818,313,313,21,3,14,11,20,10,6,0,0,0,38,4,11,123,1,7,0,0,0,43,1
554499, Cheb, Obec: Aš,817,441,440,36,6,20,23,23,17,3,6,0,3,36,0,16,192,0,15,3,0,1,33,3
554499, Cheb, Obec: Aš,676,393,393,36,1,15,12,32,15,9,2,2,2,49,0,13,142,1,8,2,0,0,49,0
554499, Cheb, Obec: Aš,827,398,398,19,4,23,7,28,19,4,4,7,3,33,0,10,163,1,18,3,0,0,49,0
554499, Cheb, Obec: Aš,633,342,340,16,0,29,7,45,10,7,2,1,2,20,0,14,125,3,5,3,0,0,49,1
554499, Cheb, Obec: Aš,1 494,433,432,22,6,29,19,38,18,3,7,3,2,28,1,14,180,2,8,0,0,0,48,1
554499, Cheb, Obec: Aš,457,235,235,14,2,8,12,25,3,2,2,0,2,8,1,9,102,1,1,0,0,0,38,0
554499, Cheb, Obec: Aš,250,132,132,2,1,5,4,13,6,0,1,0,1,22,0,17,41,0,1,1,0,0,16,1
554499, Cheb, Obec: Aš,165,85,85,5,0,7,6,12,0,0,0,0,1,6,0,0,36,0,2,0,0,0,10,0
554502, Cheb, Obec: Dolní Žandov,532,"56,42",528,31,3,23,21,93,3,10,6,0,0,52,0,16,188,4,10,5,2,4,56,1
554511, Cheb, Obec: Drmoul,486,"63,20",481,49,2,22,42,31,2,3,6,0,0,51,0,11,181,1,22,3,0,3,51,1
554529, Cheb, Obec: Františkovy Lázně,285,179,179,17,0,10,12,12,2,0,0,0,1,14,1,5,76,0,4,1,1,0,21,1
554529, Cheb, Obec: Františkovy Lázně,987,604,604,63,1,42,26,47,5,9,10,3,5,70,1,33,209,2,16,4,2,2,49,3
554529, Cheb, Obec: Františkovy Lázně,968,574,572,50,3,36,19,42,7,7,2,2,1,69,1,23,202,3,9,4,2,1,84,2
554529, Cheb, Obec: Františkovy Lázně,857,507,507,71,0,24,18,28,8,7,6,0,3,63,1,27,158,1,10,4,4,0,73,0
554529, Cheb, Obec: Františkovy Lázně,1 193,790,790,107,1,53,40,58,7,3,8,0,3,81,0,44,249,8,33,2,1,1,68,13
554529, Cheb, Obec: Františkovy Lázně,410,251,251,32,2,8,7,18,7,1,3,0,9,40,1,10,73,1,3,1,1,1,33,0
554545, Cheb, Obec: Hazlov,638,"51,49",626,37,1,29,25,77,6,10,12,1,2,53,2,10,234,1,26,0,0,0,100,0
554553, Cheb, Obec: Hranice,804,334,334,15,1,16,3,30,8,10,3,0,1,39,2,8,157,2,1,0,0,0,34,0
554553, Cheb, Obec: Hranice,582,252,252,21,0,27,6,36,6,7,2,1,3,23,0,3,89,0,2,0,2,1,19,1
554553, Cheb, Obec: Hranice,291,120,120,5,2,15,3,13,2,1,2,0,0,5,0,3,43,0,0,1,0,1,22,1
554481, Cheb, Obec: Cheb,1 624,373,373,44,3,16,20,19,12,4,9,0,1,36,3,14,113,2,12,4,0,7,53,1
554481, Cheb, Obec: Cheb,785,398,398,44,3,18,31,25,21,4,7,1,0,61,1,26,93,1,11,3,0,2,39,3
554481, Cheb, Obec: Cheb,696,406,406,52,0,23,43,34,10,5,6,0,0,53,0,14,104,1,15,1,0,1,41,1
554481, Cheb, Obec: Cheb,1 030,289,289,26,3,22,13,27,3,0,2,0,0,27,0,8,96,0,5,7,0,0,48,0
554481, Cheb, Obec: Cheb,697,296,296,25,1,14,16,22,4,1,3,0,1,27,0,8,125,0,9,2,1,2,34,0
554481, Cheb, Obec: Cheb,610,349,349,28,2,23,29,36,1,1,0,2,0,36,0,11,122,2,10,3,0,1,37,0
554481, Cheb, Obec: Cheb,880,487,487,23,0,40,27,50,8,3,2,2,1,50,0,11,182,2,10,2,0,1,70,3
554481, Cheb, Obec: Cheb,720,400,400,35,4,30,48,36,7,3,0,0,1,38,0,7,127,0,7,1,0,1,51,2
554481, Cheb, Obec: Cheb,659,366,366,30,1,28,34,42,7,1,9,0,1,28,0,14,125,1,8,4,2,1,26,0
554481, Cheb, Obec: Cheb,656,342,341,28,0,25,23,24,8,2,2,0,0,44,1,12,121,0,11,0,0,0,40,0
554481, Cheb, Obec: Cheb,555,291,291,18,3,18,14,28,3,5,2,0,0,22,0,13,108,1,8,1,0,1,43,0
554481, Cheb, Obec: Cheb,728,373,373,23,1,41,24,58,5,0,3,0,0,15,0,11,133,0,11,2,0,0,44,0
