Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
561398, Česká Lípa, Obec: Bezděz,169,"56,52",169,24,0,0,3,26,12,4,2,1,0,0,8,0,4,51,0,0,3,0,0,0,0,31,0
561401, Česká Lípa, Obec: Blatce,78,"71,56",76,12,0,0,1,8,8,1,2,0,0,0,15,0,5,21,0,0,1,0,0,0,0,2,0
561410, Česká Lípa, Obec: Blíževedly,215,"43,79",215,26,0,0,13,12,24,1,4,0,0,1,14,0,10,72,0,0,1,0,2,0,2,33,0
561428, Česká Lípa, Obec: Bohatice,96,"59,26",95,8,0,0,3,14,8,4,1,4,0,0,16,0,1,17,0,0,2,0,1,0,1,13,2
561444, Česká Lípa, Obec: Brniště,629,292,291,8,0,0,22,32,37,3,4,10,0,0,14,0,5,104,0,2,7,0,1,3,4,33,1
561444, Česká Lípa, Obec: Brniště,316,162,162,12,0,0,6,26,22,1,2,5,0,0,10,0,3,45,1,0,4,1,0,0,0,22,1
561444, Česká Lípa, Obec: Brniště,119,67,67,0,0,0,2,4,20,1,0,2,0,0,1,0,1,18,0,0,0,0,0,1,2,14,0
561479, Česká Lípa, Obec: Cvikov,155,95,95,4,0,0,1,7,14,2,0,0,0,1,9,0,7,24,1,0,6,0,0,0,0,19,0
561479, Česká Lípa, Obec: Cvikov,334,165,165,17,1,0,4,28,8,2,5,6,0,0,16,0,8,57,0,0,4,0,0,0,0,7,0
561479, Česká Lípa, Obec: Cvikov,1 285,694,694,94,1,0,55,56,62,17,6,11,0,1,74,0,9,188,0,2,21,0,7,1,0,82,5
561479, Česká Lípa, Obec: Cvikov,845,427,427,30,3,0,46,37,57,2,4,6,1,0,36,0,5,136,0,4,5,0,0,0,0,51,3
561479, Česká Lípa, Obec: Cvikov,1 018,531,531,62,0,0,19,44,48,6,5,9,1,1,44,0,15,187,1,4,9,0,2,0,1,70,1
561380, Česká Lípa, Obec: Česká Lípa,2 413,529,529,69,0,0,30,43,32,15,5,6,0,0,70,0,24,126,1,1,16,0,5,0,2,79,2
561380, Česká Lípa, Obec: Česká Lípa,607,357,357,29,0,0,24,35,22,8,1,8,1,1,42,0,14,131,0,1,3,0,0,0,0,34,1
561380, Česká Lípa, Obec: Česká Lípa,330,164,164,30,0,0,6,14,5,1,0,3,0,0,26,0,13,36,1,0,4,0,1,0,0,23,1
561380, Česká Lípa, Obec: Česká Lípa,985,670,669,57,0,0,33,61,47,10,3,12,3,3,92,0,29,230,0,0,8,1,0,2,0,75,1
561380, Česká Lípa, Obec: Česká Lípa,793,582,582,94,0,0,31,57,49,11,1,6,0,1,66,0,20,181,0,1,14,2,2,1,0,41,1
561380, Česká Lípa, Obec: Česká Lípa,586,358,358,27,0,0,30,37,29,7,4,2,0,0,27,1,17,118,1,0,3,0,4,0,1,48,0
561380, Česká Lípa, Obec: Česká Lípa,954,528,528,70,1,0,22,51,27,8,1,6,0,1,87,0,20,151,1,0,6,0,13,0,1,54,1
561380, Česká Lípa, Obec: Česká Lípa,646,410,410,35,0,1,35,57,32,13,4,5,0,0,39,0,8,116,1,0,6,0,0,1,1,48,2
561380, Česká Lípa, Obec: Česká Lípa,554,339,339,25,0,0,21,31,25,7,1,3,0,0,29,0,10,114,0,1,6,0,1,0,0,61,0
561380, Česká Lípa, Obec: Česká Lípa,614,206,206,9,1,1,14,14,20,5,0,5,1,1,23,0,2,75,0,1,3,0,2,0,1,21,2
561380, Česká Lípa, Obec: Česká Lípa,396,260,259,31,0,0,10,21,19,3,1,7,0,1,32,1,24,69,0,0,5,0,3,0,0,30,0
561380, Česká Lípa, Obec: Česká Lípa,751,428,428,48,1,0,39,34,29,10,1,7,0,0,62,0,19,107,1,2,11,0,1,0,0,56,0
561380, Česká Lípa, Obec: Česká Lípa,756,424,424,40,0,1,28,38,39,4,2,2,1,1,42,0,14,159,0,1,7,0,6,0,0,37,2
561380, Česká Lípa, Obec: Česká Lípa,671,379,377,34,0,0,37,28,35,2,1,3,0,1,47,1,7,128,1,2,5,3,1,0,1,37,1
561380, Česká Lípa, Obec: Česká Lípa,394,244,244,29,0,0,16,22,22,7,1,2,0,2,22,0,7,97,0,0,2,0,1,0,0,14,0
561380, Česká Lípa, Obec: Česká Lípa,695,413,413,35,0,2,19,49,30,4,3,8,0,2,46,1,12,162,1,0,9,1,2,0,0,27,0
561380, Česká Lípa, Obec: Česká Lípa,311,188,188,9,0,0,23,15,16,6,2,0,0,0,17,1,8,63,0,0,4,2,0,0,0,18,2
561380, Česká Lípa, Obec: Česká Lípa,426,256,256,15,0,0,18,21,13,2,2,5,1,0,21,0,12,110,1,0,7,1,0,0,0,24,1
561380, Česká Lípa, Obec: Česká Lípa,537,306,306,30,0,1,24,40,11,13,2,4,0,0,32,1,8,104,0,0,3,0,4,0,2,25,0
561380, Česká Lípa, Obec: Česká Lípa,790,294,294,24,0,0,18,17,31,4,2,2,0,2,30,1,10,102,0,1,3,1,0,0,0,45,1
561380, Česká Lípa, Obec: Česká Lípa,1 014,384,382,23,0,0,36,34,29,7,6,0,1,1,33,0,9,119,2,0,3,0,2,0,2,69,1
561380, Česká Lípa, Obec: Česká Lípa,838,255,255,10,2,0,14,17,20,2,1,0,0,0,28,0,12,89,0,1,8,2,2,0,1,44,1
561380, Česká Lípa, Obec: Česká Lípa,545,280,280,21,2,0,21,17,31,3,2,3,1,1,27,0,5,98,1,0,1,0,1,1,0,41,1
561380, Česká Lípa, Obec: Česká Lípa,866,409,409,20,0,0,26,42,39,7,4,7,1,0,36,1,10,142,0,1,8,0,6,0,0,58,0
561380, Česká Lípa, Obec: Česká Lípa,259,119,119,3,0,0,12,13,13,3,1,0,0,0,4,0,2,45,0,0,3,0,0,0,0,18,0
561380, Česká Lípa, Obec: Česká Lípa,726,378,378,15,0,0,26,40,27,7,2,6,0,0,36,0,4,146,1,0,3,0,0,1,2,61,0
561380, Česká Lípa, Obec: Česká Lípa,703,338,338,16,1,1,24,30,23,3,4,4,0,0,40,0,11,114,0,2,3,0,0,0,0,58,1
561380, Česká Lípa, Obec: Česká Lípa,938,475,475,36,0,1,27,53,29,7,1,10,0,1,44,0,21,153,0,0,8,0,0,1,0,77,5
561380, Česká Lípa, Obec: Česká Lípa,639,291,291,16,0,0,27,31,21,0,3,1,0,1,18,2,12,90,3,0,6,0,2,0,2,54,1
561380, Česká Lípa, Obec: Česká Lípa,367,201,201,7,1,0,15,22,7,2,2,10,0,0,23,0,4,67,0,0,2,0,0,0,0,39,0
561380, Česká Lípa, Obec: Česká Lípa,560,248,248,10,0,1,22,28,23,3,4,3,0,0,29,0,4,76,2,0,0,1,0,1,0,39,1
561380, Česká Lípa, Obec: Česká Lípa,611,327,327,27,0,0,19,32,20,3,5,7,0,0,40,0,5,94,0,3,5,1,6,1,3,53,1
561380, Česká Lípa, Obec: Česká Lípa,589,286,286,21,0,0,17,28,19,5,1,4,0,1,35,0,6,101,1,1,2,0,3,0,0,40,1
561380, Česká Lípa, Obec: Česká Lípa,761,360,360,30,0,0,26,38,24,6,3,7,2,2,35,0,5,119,0,2,4,0,0,0,0,52,1
561380, Česká Lípa, Obec: Česká Lípa,420,186,186,10,0,0,7,19,17,4,0,4,0,1,19,0,3,65,0,2,3,0,0,0,1,29,0
561380, Česká Lípa, Obec: Česká Lípa,516,352,351,32,0,0,24,18,46,4,1,4,0,0,36,1,11,113,0,0,4,1,1,0,1,45,1
561380, Česká Lípa, Obec: Česká Lípa,284,113,113,5,0,0,5,13,7,0,4,1,0,0,19,0,3,39,0,0,1,0,1,0,1,14,0
561380, Česká Lípa, Obec: Česká Lípa,466,280,280,15,1,0,14,15,32,4,3,4,1,0,23,0,5,106,0,0,1,0,0,2,0,51,0
561380, Česká Lípa, Obec: Česká Lípa,356,247,247,61,0,0,8,23,21,2,1,1,0,1,32,0,12,59,0,0,1,0,0,3,0,22,0
561380, Česká Lípa, Obec: Česká Lípa,271,160,160,17,0,1,8,20,6,1,0,0,0,1,21,0,5,40,1,0,2,0,0,1,0,34,1
561380, Česká Lípa, Obec: Česká Lípa,985,532,532,30,0,0,30,50,47,8,0,16,1,1,81,0,12,157,0,1,10,0,0,1,1,77,4
561380, Česká Lípa, Obec: Česká Lípa,1 161,583,582,31,0,0,54,54,48,10,8,15,1,0,62,0,19,179,3,1,5,2,5,1,0,79,4
561380, Česká Lípa, Obec: Česká Lípa,1 068,499,499,32,0,0,19,31,43,15,8,7,0,1,49,0,27,161,0,0,12,0,1,1,0,88,4
561380, Česká Lípa, Obec: Česká Lípa,77,56,56,7,0,0,2,8,2,3,2,0,0,0,4,0,0,22,0,0,0,0,0,0,0,6,0
561380, Česká Lípa, Obec: Česká Lípa,695,413,413,35,0,2,19,49,30,4,3,8,0,2,46,1,12,162,1,0,9,1,2,0,0,27,0
561380, Česká Lípa, Obec: Česká Lípa,311,188,188,9,0,0,23,15,16,6,2,0,0,0,17,1,8,63,0,0,4,2,0,0,0,18,2
561380, Česká Lípa, Obec: Česká Lípa,426,256,256,15,0,0,18,21,13,2,2,5,1,0,21,0,12,110,1,0,7,1,0,0,0,24,1
561380, Česká Lípa, Obec: Česká Lípa,537,306,306,30,0,1,24,40,11,13,2,4,0,0,32,1,8,104,0,0,3,0,4,0,2,25,0
561380, Česká Lípa, Obec: Česká Lípa,790,294,294,24,0,0,18,17,31,4,2,2,0,2,30,1,10,102,0,1,3,1,0,0,0,45,1
561380, Česká Lípa, Obec: Česká Lípa,1 014,384,382,23,0,0,36,34,29,7,6,0,1,1,33,0,9,119,2,0,3,0,2,0,2,69,1
561380, Česká Lípa, Obec: Česká Lípa,838,255,255,10,2,0,14,17,20,2,1,0,0,0,28,0,12,89,0,1,8,2,2,0,1,44,1
561380, Česká Lípa, Obec: Česká Lípa,545,280,280,21,2,0,21,17,31,3,2,3,1,1,27,0,5,98,1,0,1,0,1,1,0,41,1
561380, Česká Lípa, Obec: Česká Lípa,866,409,409,20,0,0,26,42,39,7,4,7,1,0,36,1,10,142,0,1,8,0,6,0,0,58,0
561380, Česká Lípa, Obec: Česká Lípa,259,119,119,3,0,0,12,13,13,3,1,0,0,0,4,0,2,45,0,0,3,0,0,0,0,18,0
561380, Česká Lípa, Obec: Česká Lípa,726,378,378,15,0,0,26,40,27,7,2,6,0,0,36,0,4,146,1,0,3,0,0,1,2,61,0
561380, Česká Lípa, Obec: Česká Lípa,703,338,338,16,1,1,24,30,23,3,4,4,0,0,40,0,11,114,0,2,3,0,0,0,0,58,1
561380, Česká Lípa, Obec: Česká Lípa,938,475,475,36,0,1,27,53,29,7,1,10,0,1,44,0,21,153,0,0,8,0,0,1,0,77,5
561380, Česká Lípa, Obec: Česká Lípa,639,291,291,16,0,0,27,31,21,0,3,1,0,1,18,2,12,90,3,0,6,0,2,0,2,54,1
561380, Česká Lípa, Obec: Česká Lípa,367,201,201,7,1,0,15,22,7,2,2,10,0,0,23,0,4,67,0,0,2,0,0,0,0,39,0
561380, Česká Lípa, Obec: Česká Lípa,560,248,248,10,0,1,22,28,23,3,4,3,0,0,29,0,4,76,2,0,0,1,0,1,0,39,1
561380, Česká Lípa, Obec: Česká Lípa,611,327,327,27,0,0,19,32,20,3,5,7,0,0,40,0,5,94,0,3,5,1,6,1,3,53,1
561380, Česká Lípa, Obec: Česká Lípa,589,286,286,21,0,0,17,28,19,5,1,4,0,1,35,0,6,101,1,1,2,0,3,0,0,40,1
561380, Česká Lípa, Obec: Česká Lípa,761,360,360,30,0,0,26,38,24,6,3,7,2,2,35,0,5,119,0,2,4,0,0,0,0,52,1
561380, Česká Lípa, Obec: Česká Lípa,420,186,186,10,0,0,7,19,17,4,0,4,0,1,19,0,3,65,0,2,3,0,0,0,1,29,0
561380, Česká Lípa, Obec: Česká Lípa,516,352,351,32,0,0,24,18,46,4,1,4,0,0,36,1,11,113,0,0,4,1,1,0,1,45,1
561380, Česká Lípa, Obec: Česká Lípa,284,113,113,5,0,0,5,13,7,0,4,1,0,0,19,0,3,39,0,0,1,0,1,0,1,14,0
561380, Česká Lípa, Obec: Česká Lípa,466,280,280,15,1,0,14,15,32,4,3,4,1,0,23,0,5,106,0,0,1,0,0,2,0,51,0
561380, Česká Lípa, Obec: Česká Lípa,356,247,247,61,0,0,8,23,21,2,1,1,0,1,32,0,12,59,0,0,1,0,0,3,0,22,0
561380, Česká Lípa, Obec: Česká Lípa,271,160,160,17,0,1,8,20,6,1,0,0,0,1,21,0,5,40,1,0,2,0,0,1,0,34,1
561380, Česká Lípa, Obec: Česká Lípa,985,532,532,30,0,0,30,50,47,8,0,16,1,1,81,0,12,157,0,1,10,0,0,1,1,77,4
561380, Česká Lípa, Obec: Česká Lípa,1 161,583,582,31,0,0,54,54,48,10,8,15,1,0,62,0,19,179,3,1,5,2,5,1,0,79,4
561380, Česká Lípa, Obec: Česká Lípa,1 068,499,499,32,0,0,19,31,43,15,8,7,0,1,49,0,27,161,0,0,12,0,1,1,0,88,4
561380, Česká Lípa, Obec: Česká Lípa,77,56,56,7,0,0,2,8,2,3,2,0,0,0,4,0,0,22,0,0,0,0,0,0,0,6,0
561380, Česká Lípa, Obec: Česká Lípa,560,248,248,10,0,1,22,28,23,3,4,3,0,0,29,0,4,76,2,0,0,1,0,1,0,39,1
561380, Česká Lípa, Obec: Česká Lípa,611,327,327,27,0,0,19,32,20,3,5,7,0,0,40,0,5,94,0,3,5,1,6,1,3,53,1
561380, Česká Lípa, Obec: Česká Lípa,589,286,286,21,0,0,17,28,19,5,1,4,0,1,35,0,6,101,1,1,2,0,3,0,0,40,1
561380, Česká Lípa, Obec: Česká Lípa,761,360,360,30,0,0,26,38,24,6,3,7,2,2,35,0,5,119,0,2,4,0,0,0,0,52,1
561380, Česká Lípa, Obec: Česká Lípa,420,186,186,10,0,0,7,19,17,4,0,4,0,1,19,0,3,65,0,2,3,0,0,0,1,29,0
561380, Česká Lípa, Obec: Česká Lípa,516,352,351,32,0,0,24,18,46,4,1,4,0,0,36,1,11,113,0,0,4,1,1,0,1,45,1
561380, Česká Lípa, Obec: Česká Lípa,284,113,113,5,0,0,5,13,7,0,4,1,0,0,19,0,3,39,0,0,1,0,1,0,1,14,0
