Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
571181, Chrudim, Obec: Běstvina,247,"56,14",246,28,0,0,10,0,6,17,3,2,0,0,0,24,0,3,110,0,2,17,4,0,0,20,0
573949, Chrudim, Obec: Biskupice,34,"65,38",34,2,0,0,5,0,0,2,0,0,0,0,0,2,0,0,17,0,0,3,0,0,0,3,0
505005, Chrudim, Obec: Bítovany,215,"65,15",214,26,0,0,16,0,10,26,0,2,6,0,0,25,0,6,74,0,0,4,2,0,3,14,0
571202, Chrudim, Obec: Bojanov,357,"66,48",356,31,1,1,34,0,20,27,0,5,7,0,1,31,0,12,87,0,1,35,0,2,1,58,2
547867, Chrudim, Obec: Bor u Skutče,83,"70,34",83,10,0,1,9,0,11,6,1,3,0,0,0,7,0,3,15,0,2,4,1,0,0,10,0
571229, Chrudim, Obec: Bořice,81,"54,73",81,13,0,0,2,0,9,15,2,0,2,1,0,7,0,0,18,0,0,3,0,1,1,6,1
571237, Chrudim, Obec: Bousov,111,"64,53",110,3,1,0,5,1,6,11,2,0,2,0,1,10,0,0,46,0,1,4,2,0,0,14,1
571245, Chrudim, Obec: Bylany,203,"67,44",203,19,0,0,17,0,6,16,2,0,1,1,0,25,0,6,76,0,0,13,0,0,1,20,0
571253, Chrudim, Obec: Ctětín,141,"63,23",140,6,0,0,9,0,4,27,4,1,0,0,0,12,1,5,49,0,1,3,1,1,2,13,1
571270, Chrudim, Obec: Čankovice,158,"58,74",157,8,1,0,12,0,4,20,1,5,2,0,0,18,0,3,55,0,1,10,3,0,2,12,0
