Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Česká národní fronta,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
551929, Bruntál, Obec: Andělská Hora,168,"55,08",167,5,0,0,10,0,21,28,1,3,1,0,0,19,0,0,3,47,0,0,9,0,0,0,0,20,0
597198, Bruntál, Obec: Bílčice,103,"51,24",103,2,0,0,12,0,3,17,0,1,0,0,0,5,0,0,0,36,0,0,3,0,2,0,0,22,0
597201, Bruntál, Obec: Bohušov,157,"48,31",155,21,0,0,10,0,6,23,0,2,3,1,0,8,0,1,0,50,0,1,17,0,0,0,0,12,0
597210, Bruntál, Obec: Brantice,938,549,547,30,0,1,35,0,22,52,4,10,3,0,0,41,0,0,20,232,1,1,12,0,2,1,1,75,0
597210, Bruntál, Obec: Brantice,160,89,89,3,0,0,4,0,5,20,2,1,0,0,0,4,0,0,2,33,0,0,2,0,0,0,0,13,0
597180, Bruntál, Obec: Bruntál,499,238,238,13,0,0,15,0,9,26,4,1,1,1,1,30,0,0,8,71,0,0,8,0,7,0,1,40,0
597180, Bruntál, Obec: Bruntál,832,399,399,22,1,0,32,1,24,45,8,2,6,0,1,31,0,4,5,124,0,2,9,0,2,2,3,71,3
597180, Bruntál, Obec: Bruntál,871,410,410,34,0,0,32,0,24,45,0,3,8,0,0,52,0,2,7,125,0,1,8,0,5,0,2,58,1
597180, Bruntál, Obec: Bruntál,723,458,458,45,0,0,36,0,27,36,5,0,3,2,1,30,0,2,6,191,0,0,11,0,1,0,1,58,0
597180, Bruntál, Obec: Bruntál,638,419,419,51,0,1,29,0,24,39,4,1,1,1,0,30,1,0,10,165,0,1,14,0,1,0,0,43,1
597180, Bruntál, Obec: Bruntál,686,355,355,17,0,0,37,0,15,42,2,4,4,0,0,28,0,1,7,128,0,1,9,0,1,0,0,54,1
597180, Bruntál, Obec: Bruntál,706,344,344,29,0,0,42,1,9,39,3,4,1,0,0,27,0,1,3,121,2,1,6,1,2,3,2,44,0
597180, Bruntál, Obec: Bruntál,563,309,309,10,0,0,29,0,15,32,3,4,2,2,0,17,0,0,5,124,0,1,10,0,4,0,0,48,0
597180, Bruntál, Obec: Bruntál,677,338,338,18,0,0,29,0,9,49,0,7,0,1,1,26,0,0,9,119,0,0,11,0,2,0,1,49,1
597180, Bruntál, Obec: Bruntál,736,401,401,21,2,1,24,0,22,37,3,1,6,0,1,52,0,1,6,138,0,2,13,0,3,2,2,59,1
597180, Bruntál, Obec: Bruntál,616,291,291,14,0,0,26,0,9,40,2,11,0,0,0,19,0,1,2,97,1,0,10,0,4,0,0,53,1
597180, Bruntál, Obec: Bruntál,801,435,434,22,0,0,33,0,11,33,5,4,5,1,0,44,0,0,10,157,0,3,9,0,4,1,0,85,1
597180, Bruntál, Obec: Bruntál,546,338,338,20,0,0,43,2,13,32,3,4,1,0,0,13,0,2,9,125,0,0,12,0,2,0,1,54,1
597180, Bruntál, Obec: Bruntál,881,510,510,39,0,2,21,0,16,65,12,0,4,2,0,27,0,0,9,220,0,1,19,0,10,0,0,60,2
597180, Bruntál, Obec: Bruntál,843,424,424,33,0,0,32,0,17,41,4,8,2,0,1,44,0,0,5,159,0,0,5,0,0,2,0,65,0
597180, Bruntál, Obec: Bruntál,1 249,339,339,26,1,0,15,0,15,33,4,6,7,1,0,30,1,0,5,112,1,0,5,0,9,1,0,66,1
597180, Bruntál, Obec: Bruntál,598,312,312,22,0,0,26,0,6,37,1,4,1,1,0,38,0,0,4,112,0,1,0,0,2,0,1,54,0
597180, Bruntál, Obec: Bruntál,938,223,222,13,0,0,25,0,15,25,3,3,0,3,0,25,0,1,4,52,0,3,8,0,1,0,0,39,2
597180, Bruntál, Obec: Bruntál,73,25,25,1,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,5,0
597180, Bruntál, Obec: Bruntál,1 249,339,339,26,1,0,15,0,15,33,4,6,7,1,0,30,1,0,5,112,1,0,5,0,9,1,0,66,1
597180, Bruntál, Obec: Bruntál,598,312,312,22,0,0,26,0,6,37,1,4,1,1,0,38,0,0,4,112,0,1,0,0,2,0,1,54,0
597180, Bruntál, Obec: Bruntál,938,223,222,13,0,0,25,0,15,25,3,3,0,3,0,25,0,1,4,52,0,3,8,0,1,0,0,39,2
597180, Bruntál, Obec: Bruntál,73,25,25,1,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,5,0
597228, Bruntál, Obec: Břidličná,1 011,488,488,27,1,0,17,0,8,37,6,6,2,1,0,21,0,0,13,229,0,1,13,0,5,0,1,82,1
